node,dynamics,foot,boundary,ineq,other,kin1,kin2
0,0,0,1.3081161042004241e-05,0,1.8241975283071754e-06,1.93092783975069e-06,3.7529739181814403e-07
1,0,0,0,0,3.8020821975183385e-06,4.1697104090956995e-06,7.4526446468964336e-07
2,0,0,0,0,3.6850586393269446e-06,4.2129122945509448e-06,7.5701637240830483e-07
3,0,0,0,0,3.8494376559450099e-06,6.4999862994501455e-06,7.4664949695820576e-07
4,0,0,0,0,4.2896515282825906e-06,9.192288435592667e-06,8.8478714814054643e-07
5,0,0,0,0,3.6628941773031443e-06,7.1000419334746063e-06,7.485469793928369e-07
6,0,0,0,0,3.8635999188851855e-06,6.7163116990731631e-06,7.8960191256249868e-07
7,0,0,0,0,3.8579534947374983e-06,6.6939952890199272e-06,7.7966657172079401e-07
8,0,0,0,0,3.6923040609981861e-06,6.1785340454423299e-06,7.6108349378323226e-07
9,0,0,0,0,3.6152661011534803e-06,6.1316073548534078e-06,7.0006752395102012e-07
10,0,0,0,0,3.0001155228165377e-06,5.715549157181421e-06,6.2172640302726734e-07
11,0,0,0,0,3.1325274956750526e-06,5.611805765415312e-06,6.0834994897174255e-07
12,0,0,0,0,2.8640813240776719e-06,5.4747634616880703e-06,5.8554062287718978e-07
13,0,0,0,0,3.0754084454839847e-06,5.1996221500649753e-06,6.1584976646794631e-07
14,0,0,0,0,3.1815645516186652e-06,5.1731228466467272e-06,6.2684375767840805e-07
15,0,0,0,0,3.1170966119931087e-06,5.0686673326305609e-06,6.3794037641340395e-07
16,0,0,1.2164984125595524e-06,0,1.6794732472513729e-06,2.5221379270634614e-06,3.1989279625221911e-07
